timestamp,ch0raw,ch1raw,key,activation prompt,classified activation,battery level,qx,qy,qz,qw,gx,gy,gz,ax,ay,az
143485.835,12658916,12602909,NULL,False,NONE,35.000,0.175,-0.393,0.521,0.737,-0.112,0.000,0.000,-7.195,1.438,6.398
143519.083,12657992,12602954,NULL,False,NONE,35.000,0.175,-0.394,0.521,0.737,0.448,0.839,-0.168,-7.156,1.438,6.320
143522.029,12658240,12603236,NULL,False,NONE,35.000,0.175,-0.394,0.521,0.737,0.727,0.615,-0.615,-7.156,1.438,6.320
143525.096,12659329,12603284,NULL,False,NONE,35.000,0.175,-0.394,0.521,0.737,0.727,0.615,-0.615,-7.156,1.438,6.320
143600.473,12656684,12601225,NULL,False,NONE,35.000,0.175,-0.394,0.520,0.737,-0.560,-0.056,-0.280,-7.234,1.438,6.246
143603.481,12656375,12600527,NULL,False,NONE,35.000,0.175,-0.394,0.520,0.737,-0.560,0.280,-0.448,-7.234,1.438,6.246
143606.487,12657462,12602650,NULL,False,NONE,35.000,0.175,-0.394,0.520,0.737,-0.615,0.168,-0.224,-7.238,1.398,6.320
143609.494,12658336,12601843,NULL,False,NONE,35.000,0.175,-0.394,0.520,0.737,-0.615,0.168,-0.224,-7.238,1.398,6.320
143612.517,12656266,12603577,NULL,False,NONE,35.000,0.175,-0.394,0.520,0.737,0.000,0.392,-0.112,-7.238,1.398,6.320
143615.540,12656354,12604009,NULL,False,NONE,35.000,0.175,-0.394,0.520,0.737,0.000,0.392,-0.112,-7.238,1.398,6.320
143688.114,12655094,12599794,NULL,False,NONE,35.000,0.176,-0.394,0.520,0.737,-0.056,0.504,-0.671,-7.234,1.438,6.246
143690.952,12655150,12597362,NULL,False,NONE,35.000,0.176,-0.394,0.520,0.737,-0.056,0.504,-0.671,-7.234,1.438,6.246
143724.117,12654140,12597794,NULL,False,NONE,35.000,0.176,-0.394,0.520,0.737,-0.112,0.336,-0.504,-7.234,1.438,6.246
143727.179,12655152,12598990,NULL,False,NONE,35.000,0.176,-0.394,0.520,0.737,-0.112,0.336,-0.504,-7.234,1.438,6.246
143730.125,12654100,12598052,NULL,False,NONE,35.000,0.176,-0.394,0.520,0.737,-0.112,0.504,-0.560,-7.234,1.438,6.246
143733.132,12654154,12598172,NULL,False,NONE,35.000,0.176,-0.394,0.520,0.737,-0.112,0.168,-0.504,-7.234,1.438,6.246
143736.140,12653727,12596291,NULL,False,NONE,35.000,0.176,-0.394,0.520,0.737,-0.112,0.168,-0.504,-7.238,1.438,6.281
143739.156,12653778,12598087,NULL,False,NONE,35.000,0.176,-0.394,0.520,0.737,-0.448,0.615,-0.504,-7.238,1.438,6.281
143742.180,12654391,12598236,NULL,False,NONE,35.000,0.176,-0.394,0.520,0.737,-0.056,0.448,-0.560,-7.238,1.438,6.281
143757.247,12652129,12597796,NULL,False,NONE,35.000,0.176,-0.394,0.520,0.737,0.000,0.560,-0.727,-7.238,1.438,6.281
143769.287,12650906,12596952,NULL,False,NONE,35.000,0.176,-0.394,0.520,0.737,-0.056,0.392,-0.168,-7.234,1.398,6.281
143781.330,12651908,12596206,NULL,False,NONE,35.000,0.176,-0.394,0.520,0.737,0.224,0.615,-0.168,-7.234,1.398,6.281
143793.454,12651860,12593968,NULL,False,NONE,35.000,0.176,-0.394,0.520,0.737,0.615,0.448,-0.448,-7.234,1.398,6.281
143796.364,12652331,12594387,NULL,False,NONE,35.000,0.176,-0.394,0.520,0.737,0.615,0.448,-0.448,-7.234,1.398,6.281
143799.438,12651223,12596254,NULL,False,NONE,35.000,0.176,-0.394,0.520,0.737,0.280,0.615,-0.448,-7.234,1.398,6.281
143802.392,12651343,12595665,NULL,False,NONE,35.000,0.176,-0.394,0.520,0.737,0.280,0.615,-0.448,-7.273,1.398,6.281
143805.406,12651031,12594552,NULL,False,NONE,35.000,0.176,-0.394,0.520,0.737,-0.056,0.560,-0.392,-7.273,1.398,6.281
143808.428,12650150,12596289,NULL,False,NONE,35.000,0.176,-0.394,0.520,0.737,0.168,0.504,-0.168,-7.273,1.398,6.281
143814.450,12649721,12597232,NULL,False,NONE,35.000,0.176,-0.394,0.520,0.737,0.168,0.560,-0.504,-7.273,1.398,6.281
143859.695,12648922,12594477,NULL,False,NONE,35.000,0.176,-0.394,0.519,0.737,0.056,0.783,-0.504,-7.273,1.398,6.281
