timestamp,ch0raw,ch1raw,key,activation prompt,classified activation,battery level,qx,qy,qz,qw,gx,gy,gz,ax,ay,az
736886.913,12655509,12588782,NULL,False,NONE,39.000,0.136,-0.530,0.019,0.837,-0.504,-0.112,-0.448,-8.633,-2.062,3.938
736889.911,12654407,12585031,NULL,False,NONE,39.000,0.136,-0.529,0.019,0.837,-0.336,-0.560,-0.783,-8.633,-2.062,3.938
736892.856,12656002,12587804,NULL,False,NONE,39.000,0.136,-0.529,0.019,0.837,-0.560,-0.112,-0.504,-8.633,-2.062,3.938
736895.879,12654873,12586072,NULL,False,NONE,39.000,0.136,-0.529,0.019,0.837,-0.560,-0.112,-0.504,-8.633,-2.062,3.938
736898.904,12654721,12587407,NULL,False,NONE,39.000,0.136,-0.529,0.019,0.837,-0.504,-0.392,-0.615,-8.633,-2.062,3.938
736901.873,12655243,12585958,NULL,False,NONE,39.000,0.136,-0.529,0.019,0.837,-0.504,-0.392,-0.615,-8.633,-2.062,3.938
736904.893,12654764,12587223,NULL,False,NONE,39.000,0.136,-0.529,0.019,0.837,-0.560,-0.504,-0.448,-8.633,-2.062,3.938
736907.913,12654987,12587053,NULL,False,NONE,39.000,0.136,-0.529,0.019,0.837,-0.112,-0.504,-0.615,-8.633,-2.062,3.938
736910.964,12655302,12585644,NULL,False,NONE,39.000,0.136,-0.529,0.019,0.837,-0.112,-0.504,-0.615,-8.633,-2.062,3.938
736913.973,12655075,12588393,NULL,False,NONE,39.000,0.136,-0.529,0.019,0.837,-0.448,-0.951,-0.504,-8.633,-2.062,3.938
736916.945,12654034,12586099,NULL,False,NONE,39.000,0.136,-0.529,0.019,0.837,-0.448,-0.951,-0.504,-8.633,-2.023,3.898
736920.019,12655094,12586365,NULL,False,NONE,39.000,0.136,-0.529,0.019,0.837,-0.783,-0.671,-0.224,-8.633,-2.023,3.898
736923.049,12655406,12585169,NULL,False,NONE,39.000,0.136,-0.529,0.019,0.837,-0.783,-0.671,-0.224,-8.633,-2.023,3.898
736926.065,12657928,12588635,NULL,False,NONE,39.000,0.136,-0.529,0.019,0.837,-0.783,-0.839,-0.504,-8.633,-2.023,3.898
736929.023,12657457,12588680,NULL,False,NONE,39.000,0.136,-0.529,0.019,0.837,-0.615,-0.671,-0.168,-8.633,-2.023,3.898
736931.969,12656386,12586999,NULL,False,NONE,39.000,0.136,-0.529,0.019,0.837,-0.615,-0.671,-0.168,-8.633,-2.023,3.898
736934.965,12653139,12581879,NULL,False,NONE,39.000,0.136,-0.529,0.019,0.837,-0.671,-0.392,-0.112,-8.633,-2.023,3.898
736937.991,12653791,12586195,NULL,False,NONE,39.000,0.136,-0.529,0.019,0.837,-0.839,-0.839,-0.392,-8.633,-2.023,3.898
736941.014,12655083,12584834,NULL,False,NONE,39.000,0.136,-0.529,0.019,0.837,-0.839,-0.839,-0.392,-8.633,-2.023,3.898
736944.013,12654204,12584679,NULL,False,NONE,39.000,0.136,-0.529,0.019,0.837,-0.727,-0.671,-0.448,-8.633,-2.023,3.898
736947.044,12655339,12584679,NULL,False,NONE,39.000,0.136,-0.529,0.019,0.837,-0.727,-0.671,-0.448,-8.633,-2.023,3.898
736950.067,12654700,12588121,NULL,False,NONE,39.000,0.136,-0.529,0.019,0.837,-0.560,-0.336,-0.560,-8.633,-2.023,3.898
736953.085,12657204,12586179,NULL,False,NONE,39.000,0.136,-0.529,0.019,0.837,-0.671,-0.504,-0.168,-8.637,-2.023,3.938
736956.179,12655653,12584317,NULL,False,NONE,39.000,0.136,-0.529,0.019,0.837,-0.671,-0.504,-0.168,-8.637,-2.023,3.938
736959.165,12654596,12583366,NULL,False,NONE,39.000,0.136,-0.529,0.019,0.837,-0.448,-0.560,-0.671,-8.637,-2.023,3.938
736962.079,12655680,12583294,NULL,False,NONE,39.000,0.136,-0.529,0.019,0.837,-0.448,-0.560,-0.671,-8.637,-2.023,3.938
736965.123,12655712,12586046,NULL,False,NONE,39.000,0.136,-0.529,0.019,0.837,-0.336,-0.224,-0.615,-8.637,-2.023,3.938
736968.087,12656077,12587503,NULL,False,NONE,39.000,0.136,-0.529,0.019,0.837,-0.336,-0.224,-0.615,-8.637,-2.023,3.938
736971.100,12655195,12586842,NULL,False,NONE,39.000,0.136,-0.529,0.019,0.837,-0.615,-0.280,-0.560,-8.637,-2.023,3.938
736974.122,12654987,12586477,NULL,False,NONE,39.000,0.136,-0.529,0.019,0.837,-0.615,0.056,-0.560,-8.637,-2.023,3.938
736977.137,12655435,12585430,NULL,False,NONE,39.000,0.136,-0.529,0.019,0.837,-0.615,0.056,-0.560,-8.637,-2.023,3.938
736980.234,12655683,12585673,NULL,False,NONE,39.000,0.136,-0.529,0.019,0.837,-0.448,-0.168,-0.895,-8.637,-2.023,3.938
736983.157,12656013,12588696,NULL,False,NONE,39.000,0.136,-0.529,0.019,0.837,-0.448,-0.168,-0.895,-8.594,-2.023,3.898
736986.169,12655653,12588020,NULL,False,NONE,39.000,0.136,-0.529,0.019,0.837,-0.112,-0.224,-0.895,-8.594,-2.023,3.898
736989.167,12655501,12589738,NULL,False,NONE,39.000,0.136,-0.529,0.019,0.837,-0.336,0.000,-1.175,-8.594,-2.023,3.898
736992.236,12655898,12590764,NULL,False,NONE,39.000,0.136,-0.529,0.019,0.837,-0.336,0.000,-1.175,-8.594,-2.023,3.898
736995.206,12654708,12588734,NULL,False,NONE,39.000,0.137,-0.529,0.019,0.837,-0.168,-0.056,-0.783,-8.594,-2.023,3.898
736998.303,12653927,12588531,NULL,False,NONE,39.000,0.137,-0.529,0.019,0.837,-0.168,-0.056,-0.783,-8.594,-2.023,3.898
737001.219,12651732,12584469,NULL,False,NONE,39.000,0.137,-0.529,0.019,0.837,-0.504,-0.168,-1.119,-8.594,-2.023,3.898
737004.239,12654132,12584714,NULL,False,NONE,39.000,0.137,-0.529,0.019,0.837,0.056,-0.168,-1.119,-8.594,-2.023,3.898
737007.226,12649364,12581618,NULL,False,NONE,39.000,0.137,-0.529,0.019,0.837,0.056,-0.168,-1.119,-8.594,-2.023,3.898
737010.239,12653935,12585148,NULL,False,NONE,39.000,0.137,-0.529,0.019,0.837,-0.112,-0.392,-1.175,-8.594,-2.023,3.898
737013.239,12654122,12585092,NULL,False,NONE,39.000,0.137,-0.529,0.019,0.837,-0.112,-0.392,-1.175,-8.637,-2.062,3.898
737016.231,12654401,12585404,NULL,False,NONE,39.000,0.137,-0.529,0.019,0.837,0.056,-0.615,-1.063,-8.637,-2.062,3.898
737019.254,12654926,12587117,NULL,False,NONE,39.000,0.137,-0.529,0.019,0.837,0.168,-0.504,-0.839,-8.637,-2.062,3.898
737022.405,12655160,12587396,NULL,False,NONE,39.000,0.137,-0.529,0.019,0.837,0.168,-0.504,-0.839,-8.637,-2.062,3.898
